id,Project,TeamExp,YearEnd,Length,Effort,Transactions,Enitities,PointsNon Adjust,Adjustment,PointsAdju,Language,Team selections,Team size,DBMSused,Security,DBMS exp,Software tool 
1,1,4,85,12,5152,253,52,305,34,302,1,3,6,1,2,0,2
2,2,0,86,4,5635,197,124,321,33,315,1,3,3,1,4,0,5
3,3,4,85,1,805,40,60,100,18,83,1,2,6,1,5,1,1
4,4,0,86,5,3829,200,119,319,30,303,1,2,6,2,3,1,1
5,5,0,86,4,2149,140,94,234,24,208,1,3,9,2,3,1,2
6,6,0,86,4,2821,97,89,186,38,192,1,3,7,3,3,1,1
7,7,1,85,9,2569,119,42,161,25,145,2,3,5,3,3,1,2
8,8,2,83,13,3913,186,52,238,25,214,1,3,5,3,4,0,1
9,9,1,85,12,7854,172,88,260,30,247,1,3,4,3,3,1,1
10,10,4,83,4,2422,78,38,116,24,103,1,3,4,2,2,1,3
11,11,1,84,21,4067,167,99,266,24,237,1,3,7,2,3,1,2
12,12,1,84,17,9051,146,112,258,40,271,1,3,4,3,2,1,4
13,13,1,84,3,2282,33,72,105,19,88,1,1,3,2,2,1,1
14,14,4,85,8,4172,162,61,223,32,216,1,1,5,2,2,1,1
15,15,4,85,9,4977,223,121,344,28,320,1,3,4,2,2,1,2
16,16,2,85,8,1617,119,48,167,26,152,2,1,4,2,2,1,2
17,17,3,85,8,3192,57,43,100,43,108,1,3,4,2,2,1,2
18,18,4,86,14,3437,68,316,384,20,326,2,1,2,2,2,1,2
19,19,4,87,14,4494,9,386,395,21,340,2,3,7,2,2,1,2
20,20,2,86,5,840,58,34,92,29,86,1,1,2,2,5,1,3
21,21,4,86,12,14973,318,269,587,34,581,2,3,8,5,2,1,3
22,22,4,85,18,5180,88,170,258,34,255,1,3,6,2,5,1,5
23,23,4,86,5,5775,306,132,438,37,447,1,3,3,1,2,1,1
24,24,1,87,20,10577,304,78,382,39,397,1,3,6,2,5,1,1
25,25,4,86,8,3983,89,200,289,33,283,1,3,6,2,3,1,1
26,26,1,85,14,3164,86,230,316,33,310,1,3,2,5,4,1,1
27,27,0,86,6,3542,71,235,306,37,312,1,3,4,2,3,0,2
28,28,1,85,14,4277,148,324,472,39,491,1,2,2,2,2,1,3
29,29,4,85,16,7252,116,170,286,27,263,1,2,2,2,3,1,1
30,30,1,85,14,3948,175,277,452,37,461,1,3,2,3,2,1,5
31,31,3,86,6,3927,79,128,207,27,190,1,3,2,3,2,0,3
32,32,1,86,9,710,145,38,183,27,168,3,3,1,3,2,1,1
33,33,4,87,9,2429,174,78,252,41,267,3,2,9,5,2,0,3
34,34,1,85,5,6405,194,91,285,35,285,1,3,3,2,2,0,2
35,35,2,88,3,651,126,49,175,38,180,3,3,3,3,2,0,5
36,36,3,86,17,9135,317,119,436,34,432,2,3,2,1,4,0,5
37,37,4,87,11,1435,289,88,377,28,351,3,2,5,5,3,1,3
38,38,-1,87,8,5922,260,144,404,24,360,1,2,9,5,3,1,2
39,39,4,88,4,847,158,59,217,18,180,3,2,4,5,3,1,2
40,40,3,88,16,8050,302,145,447,52,523,2,3,3,2,2,1,1
41,41,1,87,9,4620,451,48,499,28,464,1,3,5,2,2,0,2
42,42,4,87,34,2352,661,132,793,23,698,3,3,6,2,5,1,2
43,43,1,88,10,2174,64,54,118,25,106,1,3,2,1,2,0,3
44,44,4,86,39,19894,284,230,514,50,591,1,3,4,1,1,0,5
45,45,1,86,18,6699,182,126,308,35,308,1,2,5,2,2,0,2
46,46,3,87,27,14987,173,332,505,19,424,1,3,5,1,3,0,3
47,47,2,88,9,4004,252,7,259,28,241,1,2,3,1,4,0,2
48,48,3,85,11,12824,131,180,311,51,361,1,2,6,5,5,1,2
49,49,3,85,8,2331,106,39,145,6,103,1,2,6,5,4,1,3
50,50,3,85,9,5817,96,108,204,29,192,1,2,6,5,4,1,3
51,51,3,85,7,2989,116,72,188,18,156,1,3,3,5,3,0,1
52,52,3,85,6,3136,86,49,135,32,131,1,3,4,5,3,0,2
53,53,3,85,17,14434,221,121,342,35,342,1,2,6,5,4,1,3
54,54,1,87,12,2583,61,96,157,18,130,1,3,3,3,2,1,3
55,55,3,86,12,3647,132,89,221,5,155,2,3,2,2,2,1,5
56,56,7,86,13,8232,45,387,432,16,350,2,2,5,2,2,1,2
57,57,1,86,12,3276,55,112,167,12,129,2,2,2,3,2,1,5
58,58,4,87,8,2723,124,52,176,14,139,2,3,4,5,3,0,3
